club,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Avellino,0.0,0.0,0.0,17295.34,17988.34,15574.62,18518.11,16786.72,33407.22,18040.16,0.0,0.0,0.0,16603.62,33843.54,34402.76,33183.33,33074.97,17976.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aves,14437.24,16813.9,0.0,0.0,0.0,0.0,15736.42,18541.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16221.02,32694.81,33470.85,23832.24,0.0,0.0,0.0,0.0,0.0
BW Linz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15870.44,31791.38,6701.62
Babelsberg,0.0,17467.88,17852.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacau,16046.6,31049.44,31122.64,31581.39,31359.81,31557.420000000002,17214.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badajoz,18673.3,37674.41,37133.59,19465.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balikesirspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16869.89,18078.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baltika,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16222.9,17674.15,0.0
Barcelona,22501.5,45105.65,44708.67,44531.67,45391.71,45595.47,47471.45,47229.92,46200.83,47347.11,48112.78,49428.26,49814.72,49380.07,48628.09,49447.37,49374.86,48532.88,48741.75,48141.78,47108.8,45621.33,45030.07,45128.61,45228.33,9511.0
Barcelona B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17407.88,37266.590000000004,38438.89,37580.32,38190.52,19704.35,0.0,17673.94,19022.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bari,19727.67,37200.75,36263.61,36131.09,34520.77,35589.67,35743.67,35398.590000000004,35832.37,38080.44,39146.28,35875.79,34795.22,34291.1,34966.92,34480.62,34598.58,34094.02,18803.27,0.0,0.0,0.0,16538.61,35527.13,34791.36,7357.99
Barnsley,18421.28,34896.39,18496.51,0.0,0.0,0.0,15443.97,34092.520000000004,35118.13,34643.61,34572.44,34715.47,33520.58,33875.37,18286.84,0.0,16687.68,34209.21,18137.16,16792.79,34190.77,36387.18,18287.33,0.0,0.0,0.0
Bastia,20041.81,39754.48,39153.03,38962.55,38749.5,38727.23,37384.74,36250.89,35326.09,34383.03,18504.61,16063.43,36561.43,37196.46,36996.8,37680.75,37602.01,20089.79,0.0,0.0,0.0,15852.080000000002,33096.37,33863.21,34185.61,7220.2300000000005
Bayern Munich,22254.12,45101.33,45134.409999999996,44480.66,43626.88,44712.03,44475.31,43317.17,43710.58,44230.06,45216.57,45322.43,46206.31,48998.29,49346.32,48299.299999999996,48210.39,47719.9,46878.89,46645.71,48179.15,48347.33,47597.79,47177.39,46065.94,9511.08
Beauvais,15618.5,35888.38,36187.159999999996,18504.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beerschot VA,17786.07,36112.93,35731.15,34732.55,34938.79,33944.79,34535.65,34998.51,35245.2,34775.12,34178.29,33338.5,34186.02,17287.48,0.0,0.0,0.0,0.0,9232.69,9165.06,16659.66,32854.13,16741.84,0.0,14671.150000000001,6695.73
Beira Mar,16197.55,34365.64,34348.25,35151.83,35252.69,18559.03,15805.24,18547.83,0.0,0.0,17787.72,36556.57,35724.92,18852.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belchatow,0.0,0.0,0.0,0.0,0.0,13886.380000000001,31493.100000000002,33202.15,32102.91,32890.8,32845.08,32376.19,31543.78,16364.72,15944.710000000001,16773.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belenenses,16936.62,34831.05,36287.43,36462.84,35160.74,35964.24,35888.29,37531.11,38047.090000000004,35977.520000000004,18803.98,0.0,0.0,16971.85,34207.28,35548.6,34966.95,34260.09,33968.85,34711.34,33646.44,34475.74,18175.59,0.0,0.0,0.0
Benevento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17171.48,34906.25,34702.57,34904.76,37371.28,36749.63,35777.51,18526.07,0.0,0.0
Benfica,19134.72,37558.62,38280.86,40587.5,41090.22,40173.159999999996,40802.340000000004,42078.75,41249.17,40665.4,42944.49,43417.35,43726.43,44233.13,44337.83,43859.85,43764.65,42704.32,41663.91,42833.9,41964.15,41886.1,42861.95,43499.35,42733.79,8911.7
Bergen,0.0,0.0,16119.53,33162.44,33174.01,17366.07,14579.22,32746.87,32754.14,17175.4,0.0,15028.42,33938.28,33906.69,17091.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Besancon,0.0,0.0,0.0,16664.66,18504.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Besiktas,19782.87,38005.98,38191.03,41049.94,39965.25,39389.05,38234.33,38247.88,39448.81,39299.73,39228.49,38031.18,38123.35,38449.53,39156.53,39423.93,39796.5,41012.44,40990.06,38345.78,36616.75,37281.17,36094.9,38366.47,36094.08,7443.18
Betis,20395.89,41115.56,42715.71,42581.54,42926.02,42920.15,41514.76,41589.61,41806.04,40952.93,39723.96,40046.06,40968.12,41443.83,39702.02,40580.01,40726.79,39744.88,41012.62,40622.12,40532.17,41355.659999999996,42468.5,41876.12,40934.76,8393.58
